"Longitude","Latitude","SurfT_C"
-157.89,21.475,295
-157.9208,21.535,294
-157.8917,21.4817,295
-157.8967,21.4983,295
-157.84,21.4033,295
-156.575,20.9167,292
-156.575,20.9167,292
-159.5767,22.215,295
-159.5167,21.915,300
-156.205,20.8867,296
-156.54,20.9583,295
-157.8,21.2767,303
-159.6567,22.0483,298
-159.6707,22.1067,294
-159.65,22.1333,292
-159.7117,22.1283,298
-159.5233,22.1033,293
-157.8017,21.3633,295
-155.5575,19.995,299
-155.9033,19.5833,295
-156.9183,20.835,302
-157.815,21.3317,297
-158.1433,21.5067,294
-157.82,21.2967,305
-158.1117,21.5133,295
-159.5883,22.0817,294
-157.85,21.3,304
-157.8617,21.3067,304
-156.2833,20.8,299
-155.3883,19.9867,297
-155.455,19.7333,305
-155.35,19.4833,301
-155.35,19.4833,301
-155.5667,19.4833,304
-155.3,19.4667,298
-156.2292,20.7442,295
-155.2467,19.4283,298
-155.55,19.98,300
-155.4767,19.8117,303
-155.3067,19.44,298
-156.375,20.6733,300
-159.6283,22.0867,300
-159.685,22.0867,295
-159.6517,22.0783,298
-159.65,22.1583,295
-159.6367,22.15,294
-159.7083,22.1417,298
-159.6317,22.1533,294
-159.6317,22.15,294
-159.65,22.0333,300
-159.6433,22.1533,294
-159.58,22.02,299
-159.6633,22.105,296
-155.55,19.9833,299
-155.5067,19.72,305
-158.1433,21.5067,294
-155.65,19.8567,303
-155.4917,19.6967,304
-156.1533,20.73,296
-156.1283,20.7333,293
-155.7883,20.1383,298
-155.4683,19.69,304
-156.12,20.725,295
-155.4083,19.685,302
-156.25,20.7333,295
-155.45,19.75,305
-155.4667,19.8,304
-156.2167,20.7417,296
-156.2,20.755,293
-156.1917,20.7333,302
-155.4667,19.8,304
-155.4667,19.8,304
-156.3917,20.65,301
-156.255,20.7917,296
-155.4667,19.8,304
-156.255,20.7917,296
-155.4667,19.8,304
-159.6467,22.15,294
-159.6517,22.0783,298
-159.62,22.17,295
-159.62,22.0633,299
-159.6167,22.1167,295
-159.6183,22.1183,295
-159.6017,22.0733,296
-159.6517,22.1083,294
-159.6433,22.1217,293
-159.6067,22.0667,299
-159.65,22.1167,293
-159.6333,22.1333,292
-159.6017,22.0933,296
-159.6617,22.1417,293
-159.6617,22.1417,293
-159.6217,22.12,294
-159.6,22.1083,294
-159.5833,22.1133,293
-159.6017,22.0933,296
-159.6567,22.14,293
-159.6883,22.0817,295
-158.1333,21.5,294
-157.8033,21.3683,295
-177.4333,28.2167,NA
-157.8617,21.3067,304
-156.3783,20.655,300
-156.225,20.815,292
-156.2806,20.7992,299
-156.5503,20.8383,295
-156.3467,20.65,298
-158.1433,21.5067,294
-157.8033,21.3683,295
-155.4567,20.048,296
-157.8617,21.3067,304
-177.3833,28.2,NA
-155.2833,19.4,308
-156.3783,20.655,300
-156.33,20.7617,302
-159.6517,22.0783,298
-155.3817,19.9783,298
-159.6217,22.1367,292
-159.7167,22.1283,298
-159.665,22.07,295
-155.5575,19.995,299
-159.6517,22.0783,298
-159.64,22.1233,293
-155.4417,19.98,298
-159.6667,22.1667,297
-159.6667,22.1667,297
-155.475,19.9717,298
-155.6533,19.8617,303
-155.4883,19.7033,304
-155.4917,19.6967,304
-155.4917,19.6967,304
-155.4533,19.7417,304
-155.395,19.8,307
-155.45,19.75,305
-155.45,19.6833,302
-156.2803,20.7561,298
-156.3358,20.6717,296
-155.495,19.71,304
-155.5667,19.775,307
-155.5933,19.8333,301
-159.5167,21.9717,295
-157.8883,21.505,295
-155.36,19.99,296
-155.36,19.99,296
-157.7583,21.33,295
-156.8967,21.1583,294
-157.9833,21.5633,296
-156.85,20.8,298
-156.92,21.133,293
-159.5767,22.215,295
-156.0883,20.6917,292
-159.6233,22.125,293
-157.9033,21.5633,294
-157.8983,21.5,295
-159.525,21.9717,296
-157.9083,21.5083,295
-159.525,22.2133,297
-155.04,19.6283,300
-157.7583,21.32,295
-157.9,21.5,295
-159.525,21.9667,296
-159.4333,22.1117,295
-154.8667,19.5333,298
-157.9,21.5833,295
-159.5,22.2,297
-157.8617,21.3067,304
-159.3171,22.0667,299
-155.155,19.7367,296
-156.2833,20.8,299
-156.325,20.9217,299
-155.155,19.49,295
-155.155,19.49,295
-155.2167,19.3667,299
-155.755,20.1133,296
-155.1533,19.475,295
-155.3,19.4833,296
-156.6,20.855,300
-155.225,19.44,294
